20200208,闵行,莘庄,优选房源  满五唯一  中间楼层  诚意出售 看房随时必看好房,288万,2室1厅 | 71.14平米 | 南 | 毛坯 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/9a499d7f-d68d-4a3a-b819-170b41609213_1000.jpg.296x216.jpg
20200208,闵行,莘庄,江南名邸 4室2厅 850万必看好房,850万,4室2厅 | 143.72平米 | 南 北 | 精装 | 中楼层(共14层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ZqOqxQEcE_1.jpg.296x216.jpg
20200208,闵行,莘庄,小区仅此一套！40万精装修+中 央空调+给你家的温暖！必看好房,308万,2室1厅 | 73.11平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_redWtpXqP_1.jpg.296x216.jpg
20200208,闵行,莘庄,居家小两房+近12号线+满五税费少+配套齐全必看好房,265万,2室1厅 | 57.59平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/90ea3a67-81d8-482c-aade-367aedb2dd78_1000.jpg.296x216.jpg
20200208,闵行,莘庄,经典双南两房 南面无遮挡 采光好视野好 本周必卖必看好房,375万,2室1厅 | 65.36平米 | 南 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ZZWBmRR5B.jpg.296x216.jpg
20200208,闵行,莘庄,三房两厅两卫 采光好 位置佳 从未住过人必看好房,659万,3室2厅 | 119.22平米 | 南 | 精装 | 低楼层(共14层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_DcHWUdBTu_1.jpg.296x216.jpg
20200208,闵行,莘庄,双南两房户型，视野开阔，采光充足，配套完善必看好房,339万,2室1厅 | 74.42平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ZgxlsFlDM_1.jpg.296x216.jpg
20200208,闵行,莘庄,莘城公寓 1室2厅 366万必看好房,366万,1室2厅 | 76.32平米 | 南 北 | 精装 | 低楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_9py6DBBsD_1.jpg.296x216.jpg
20200208,闵行,莘庄,装修两年，大阳台，采光无遮挡，链家独有房源必看好房,380万,2室2厅 | 109.56平米 | 南 | 精装 | 低楼层(共12层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_fUtYaCYmw_1.jpg.296x216.jpg
20200208,闵行,莘庄,此房满五，中间楼层，南北通，看房方便必看好房,410万,2室1厅 | 84.72平米 | 南 | 简装 | 中楼层(共5层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_vaVRUBqi2_1.jpg.296x216.jpg
20200208,闵行,莘庄,三楼精装 50平250万 随时看房 诚售必看好房,249万,2室1厅 | 50.24平米 | 南 | 精装 | 中楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_EkmRpM8kX_1.jpg.296x216.jpg
