20200208,浦东,外高桥,潼港八村两房 地铁6号线500米 有钥匙随时看房 总价低,210万,2室1厅 | 62平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f15ea070-e686-4893-b2b5-181d4698a449.jpg.296x216.jpg
20200208,浦东,外高桥,潼港八村 3室1厅 290万,290万,3室1厅 | 85.99平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-cd50608b-4bbc-4194-bed7-46a988e223a8.jpg.296x216.jpg
20200208,浦东,外高桥,点开不后悔 轨交六号加十号 有了它可以穿越魔都,310万,2室1厅 | 77.1平米 | 南 | 毛坯 | 高楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5ca733f3-1135-41d8-997a-3def034d57c6.png.296x216.jpg
20200208,浦东,外高桥,商品房.6号线.10号线。大两房带花园，满五，南北通,514万,2室2厅 | 132.74平米 | 南 | 精装 | 低楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ejp7w7CeU_1.jpg.296x216.jpg
20200208,浦东,外高桥,运银公寓  近地铁 看房方便 看中可谈,438万,3室2厅 | 117.02平米 | 南 | 简装 | 低楼层(共11层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-45c1ea93-7368-4f30-a3eb-2b55ee9b2dca.jpg.296x216.jpg
20200208,浦东,外高桥,富特一房  中间楼层  小区位置好  一改二  诚意出售,213万,1室1厅 | 42.86平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-7b0844bf-9022-4268-9d58-8195b6f9db9f.jpg.296x216.jpg
20200208,浦东,外高桥,精装一室户，诚心出售，价格可谈，繁华地段,166.9万,1室1厅 | 42.82平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5ba7caee-daaf-4461-9151-838d7da916c7.jpg.296x216.jpg
20200208,浦东,外高桥,富特五村，双南户型，4楼，毛坯房，有钥匙，可谈,222万,2室1厅 | 57.01平米 | 南 | 毛坯 | 中楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4bb2bae0-b75f-496a-804b-abc0becb1d58.jpg.296x216.jpg
20200208,浦东,外高桥,两房朝南，前后无遮挡 采光好，满五唯一，少税费,270万,2室1厅 | 79.47平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-04f6672e-c111-42db-a4a6-1eb9be6de9d0.jpg.296x216.jpg
20200208,浦东,外高桥,6号/10号 小区央座，视野开阔地铁十号线近在咫尺,352万,2室2厅 | 85.93平米 | 南 | 精装 | 高楼层(共14层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_IjPHH2diM_1.jpg.296x216.jpg
20200208,浦东,外高桥,满五年+三房+全明户型+随时看房主自荐,254万,3室1厅 | 74.96平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-23f3d322-41c9-4470-a88f-b21282a39359.jpg.296x216.jpg
20200208,浦东,外高桥,潼港八村2房 地铁6号线沿线 交通便利 价格可谈,260万,2室1厅 | 70.94平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6e370204-0bf4-4d4f-94e2-a7cb6dca6d29.jpg.296x216.jpg
20200208,浦东,外高桥,2016年买的，没有增值税，有个税。,750万,3室2厅 | 137.23平米 | 南 | 精装 | 高楼层(共13层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_janjZtUmR_1.jpg.296x216.jpg
20200208,浦东,外高桥,满五年唯一 位置佳 业主诚意出售 双南户型 接受议价,208万,2室1厅 | 57.01平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_xFolitSzi_1.jpg.296x216.jpg
20200208,浦东,外高桥,潼港六村 主卧朝南带阳台 配套成熟 诚心出售,212万,2室1厅 | 66.76平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_C53FRFboe_1.jpg.296x216.jpg
20200208,浦东,外高桥,经济适用。适合您的好房子。您值得拥有。,210万,2室1厅 | 57.17平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-609783d5-130c-4858-8c75-5bcf421596b4.png.296x216.jpg
20200208,浦东,外高桥,双天井，实际使用面积大。业主诚心出售。,200万,2室1厅 | 54.99平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-437e3df9-d0d3-47c6-85d1-0fc4cbe5ba9d.jpg.296x216.jpg
20200208,浦东,外高桥,中外环之间正气三房，有钥匙随时看房，近6号线港城路,340万,3室2厅 | 101.37平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_JabmGG1th_1.jpg.296x216.jpg
20200208,浦东,外高桥,一改er,可直视东方明珠+有钥匙+随时可看！,222万,2室1厅 | 56平米 | 南 | 简装 | 高楼层(共18层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8md3E9Pke_1.jpg.296x216.jpg
20200208,浦东,外高桥,视野开阔，热闹街区地处繁华配套齐全,194万,2室1厅 | 56.33平米 | 南 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_x5oSyFDSF_1.jpg.296x216.jpg
20200208,浦东,外高桥,精装修可拎包入住  满五年唯一税少 景观楼层,355万,2室2厅 | 93.43平米 | 东南 南 | 精装 | 中楼层(共19层) | 1996年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_0kGLJmzar_1.jpg.296x216.jpg
