20200208,闵行,古美,鸿发家园 3室2厅 650万,650万,3室2厅 | 111.29平米 | 南 北 | 简装 | 中楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_MohtMlRjA_1.jpg.296x216.jpg
20200208,闵行,古美,鸿发四期电梯顶楼复式 业主置换诚意出售 满五唯一房主自荐,988万,3室2厅 | 153.06平米 | 南 北 | 精装 | 高楼层(共8层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-488bedea-fe01-4261-8edd-33396b403ea2.jpg.296x216.jpg
20200208,闵行,古美,新梅广场，飞机户型，地铁1号线外环路线，有产权车位,635万,3室2厅 | 124.87平米 | 南 | 精装 | 低楼层(共12层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8094b098-f4f8-4319-aba1-1bfb247905df.jpg.296x216.jpg
20200208,闵行,古美,沿河景观，前后间距大采光充足，精装配套,780万,3室2厅 | 118.23平米 | 南 | 精装 | 低楼层(共14层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-907ed6c2-355f-4672-b68c-41c946aa5aa6.jpg.296x216.jpg
20200208,闵行,古美,舒适两房+不临街+看房方便+天然氧吧,560万,2室2厅 | 96.11平米 | 南 | 简装 | 低楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ENfRfWGLv_1.jpg.296x216.jpg
20200208,闵行,古美,精装带地暖！满五诚意出售！拎包入住!,850万,2室2厅 | 105.39平米 | 南 | 精装 | 低楼层(共12层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4a9b07bc-9cb7-48d2-89b2-fd4e0de5896c.jpg.296x216.jpg
20200208,闵行,古美,鸿发二期 双南大两房  楼层位置佳 正看小区花园,535万,2室2厅 | 96.14平米 | 南 北 | 简装 | 中楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6cdb9a24-6ae5-4622-9b17-9ed93bb88874.jpg.296x216.jpg
20200208,闵行,古美,08年古美标杆楼盘，飞机户型三房，带地下产权车位！房主自荐,980万,3室2厅 | 139.9平米 | 南 | 精装 | 低楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-015807a6-acd0-4b4e-84f0-b4d831b47aa3.jpg.296x216.jpg
20200208,闵行,古美,景观电梯大两房，真房实价，诚意出售房主自荐,698万,2室2厅 | 118.89平米 | 南 | 精装 | 中楼层(共16层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4992396c-d4f2-452c-bae9-e6c3af7210b7.jpg.296x216.jpg
20200208,闵行,古美,A+好房+临河高区景观房+位置佳+产权车位+三开间朝南,860万,3室2厅 | 123.5平米 | 南 | 精装 | 高楼层(共14层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4c69f224-7ed7-4bc9-967d-8a5d4ae552f0.jpg.296x216.jpg
20200208,闵行,古美,电梯6楼 飞机户型 12号线地铁口  湿地公园 配套齐全,799万,3室2厅 | 122.71平米 | 南 | 简装 | 中楼层(共12层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/a3d89953-6a4c-433d-b430-b9b53b4c4faa_1000.jpg.296x216.jpg
20200208,闵行,古美,总价低  税费少 南北两房 业主诚意出售 看房方便,280万,2室1厅 | 61.41平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/8c36f251-86d0-4fbb-9892-9de636d170ca_1000.jpg.296x216.jpg
20200208,闵行,古美,04年园林式小区，景观楼层，采光视野佳，带产权车位,870万,3室2厅 | 135.69平米 | 南 | 精装 | 中楼层(共12层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/c0143259-bda1-4aa2-a754-080dbeb93dde_1000.jpg.296x216.jpg
20200208,闵行,古美,花园式小区 电梯高区 沿河景观房 有钥匙 诚意出售,895万,3室2厅 | 149.82平米 | 南 | 精装 | 中楼层(共18层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/6af00aa5-a5d2-4107-b48c-3462d238d195_1000.jpg.296x216.jpg
20200208,闵行,古美,楼层好，小区楼栋位置好，中间套自如精装修,335万,2室1厅 | 64.84平米 | 南 | 精装 | 低楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_6GBV378pX_1.jpg.296x216.jpg
20200208,闵行,古美,2009年新小区，打2房2卫，看房方便,845万,2室2厅 | 122.79平米 | 南 | 毛坯 | 低楼层(共22层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_oQILPTuz2_1.jpg.296x216.jpg
20200208,闵行,古美,“白玉兰”户型，临漕河泾，双规交通，配套成熟！,580万,2室2厅 | 97.8平米 | 南 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/6e7d1031-797b-4194-86ee-d11d17126e04_1000.jpg.296x216.jpg
