20200208,闵行,静安新城,中间楼层位置好+一梯两户户型好+价格美丽看房方便,360万,2室1厅 | 65.5平米 | 南 北 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_TnxTLzHOK_1.jpg.296x216.jpg
20200208,闵行,静安新城,精装修拎包入住+不临路产权清晰+税少随时收定+诚心售,340万,1室1厅 | 57.57平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_4wCCZ5Xjb_1.jpg.296x216.jpg
20200208,闵行,静安新城,40平栅栏式花园 南北直通3阳台！3做4！诚意出售,689万,3室2厅 | 125平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_wWLRGJhZn_1.jpg.296x216.jpg
20200208,闵行,静安新城,大上海十四区沿河电梯三房 精装带墙暖 视野宽阔采光足,818万,3室2厅 | 121.15平米 | 南 | 精装 | 低楼层(共12层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_iuvtdvdE7_1.jpg.296x216.jpg
20200208,闵行,静安新城,三区再现低总价双南两房、一梯两户、全明、随时看房,330万,2室1厅 | 66.8平米 | 南 | 简装 | 高楼层(共7层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-bdd121da-066d-4f32-9885-0e3383d34d99.jpg.296x216.jpg
20200208,闵行,静安新城,小区刚刚整改好，楼层佳，位置好，精装小一房，可谈,295万,1室1厅 | 48.65平米 | 南 | 精装 | 中楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_5nM8CVexX_1.jpg.296x216.jpg
20200208,闵行,静安新城,九歌花园08年电梯一房，边套户型采光好，70年住宅房主自荐,300万,1室0厅 | 48.46平米 | 西 | 精装 | 中楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_LlGW8cuvq_1.jpg.296x216.jpg
20200208,闵行,静安新城,满五税少 南北通 采光好 房东诚意出售,265万,1室1厅 | 49.35平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_SpTOyJHsK_1.jpg.296x216.jpg
20200208,闵行,静安新城,房子满五唯一，精装修，近地铁，房东诚意出售。房主自荐,465万,1室2厅 | 70.41平米 | 东南 | 精装 | 中楼层(共12层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2c8e865e-9818-4c9e-a814-ca13d56f2eac.jpg.296x216.jpg
20200208,闵行,静安新城,全明户型好+诚意急卖+双地铁+七宝实验+产权清晰,253万,1室1厅 | 50.18平米 | 南 | 精装 | 高楼层(共7层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-72a879de-229b-41ab-b183-00eb6acfe8d9.png.296x216.jpg
