20200208,宝山,大场镇,低楼层 非一楼 采光通风好  出入方便 南北通透双阳台,345万,2室2厅 | 90.55平米 | 南 北 | 精装 | 低楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ee9f4328-bce2-46d7-8754-68fcb9f824f2.jpg.296x216.jpg
20200208,宝山,大场镇,业主置换 此房急售 走过路过 不要错过,268万,2室1厅 | 72.11平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_p38yeKtQO_1.jpg.296x216.jpg
20200208,宝山,大场镇,中高楼层，采光充足，交通便利，配套齐全,248万,2室0厅 | 61.09平米 | 南 西 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b0c311ed-2a02-408b-8b58-dfce43fd737b.jpg.296x216.jpg
20200208,宝山,大场镇,中环边 7号线场中路站200米 全明户型  配套完善,240万,2室1厅 | 60.8平米 | 西南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-54c2e94a-41bc-48dd-8daf-9feb6e806535.jpg.296x216.jpg
20200208,宝山,大场镇,和泰苑 2室2厅 341万房主自荐,341万,2室2厅 | 87.2平米 | 南 | 精装 | 高楼层(共4层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_rS9eXMB5h_1.jpg.296x216.jpg
20200208,宝山,大场镇,南北通风 双阳台 高楼层 小区环境好 楼层佳,465万,2室2厅 | 93.79平米 | 南 | 精装 | 中楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-aa3c5bc0-0e7a-4aef-aa74-bdb29f7639d4.jpg.296x216.jpg
20200208,宝山,大场镇,户型正气  南北通风 小区环境好 楼层位置佳,468万,2室2厅 | 93.79平米 | 南 北 | 精装 | 高楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5aa562a7-83fc-4cd4-85a5-4a73e1abab09.jpg.296x216.jpg
20200208,宝山,大场镇,上大阳光乾和园 3室2厅 550万房主自荐,550万,3室2厅 | 136.43平米 | 南 | 精装 | 高楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-7e623851-d500-41df-9a6d-39e4c56a43ad.jpg.296x216.jpg
20200208,宝山,大场镇,南北通格局好，楼层好，位置好视野开阔，采光充足,580万,5室3厅 | 127.01平米 | 南 | 精装 | 高楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f62ff4d6-35be-4c2c-af07-e77c6cf944c8.jpg.296x216.jpg
20200208,宝山,大场镇,非顶楼，采光好 地铁口200m，两房朝南 诚意出售,290万,2室1厅 | 72.3平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_eCoLT7Zga_1.jpg.296x216.jpg
20200208,宝山,大场镇,满五唯一，双南全明，中间楼层，采光充足，诚意出售,272万,2室1厅 | 67.91平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_nEKfnht0Y_1.jpg.296x216.jpg
20200208,宝山,大场镇,08年商品房，小户型，精装修，看房方便房主自荐,269万,1室1厅 | 59.27平米 | 南 | 精装 | 高楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-644af475-59d6-4fe0-b9a4-2c7e0a554f1c.jpg.296x216.jpg
20200208,宝山,大场镇,精装修五楼，南北直通两房，户型正气，采光好房主自荐,420万,2室2厅 | 92.36平米 | 南 | 精装 | 高楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c9dc1df7-8c42-4e02-bf0a-bebe8da001d3.jpg.296x216.jpg
20200208,宝山,大场镇,一梯两户，地铁口150m  两房朝南 房型正气，诚售房主自荐,285万,2室1厅 | 75.7平米 | 南 | 其他 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/b02ace25-988e-4f02-a784-6021eda46945_1000.jpg.296x216.jpg
20200208,宝山,大场镇,同济城市阳光 2室2厅 440万,440万,2室2厅 | 82.4平米 | 南 北 | 精装 | 低楼层(共13层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_135BDIlUw_1.jpg.296x216.jpg
20200208,宝山,大场镇,环镇北路500弄，满五唯一，交通方便，楼层好,190万,1室1厅 | 42.9平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_dn2FbJnxu_1.jpg.296x216.jpg
20200208,宝山,大场镇,诚心售双卧朝南，中间楼层，小区中间位置，交通便利房主自荐,336万,2室1厅 | 81.46平米 | 南 | 精装 | 中楼层(共6层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_pd5pOn16I_1.jpg.296x216.jpg
20200208,宝山,大场镇,小区离地铁近，正准备铺沥青路，配套好。,320万,2室1厅 | 75.01平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_CqqudP0kd_1.jpg.296x216.jpg
20200208,宝山,大场镇,难得一见的底楼小户型 总价低朝向好 千万不要错过,258万,2室1厅 | 67.73平米 | 南 北 | 毛坯 | 低楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_p55Te7iLq_1.jpg.296x216.jpg
20200208,宝山,大场镇,空间布局有致,和谐有序,清新空气自由穿行,340万,2室2厅 | 90.55平米 | 南 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-db1242df-0cfd-4e3c-8399-679567350886.jpg.296x216.jpg
20200208,宝山,大场镇,美诗邸，一梯一户，带地暖，拎包入住，满二有车位房主自荐,484万,2室2厅 | 95平米 | 南 北 | 精装 | 低楼层(共13层) | 2016年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_I0aVMUEzC_1.jpg.296x216.jpg
20200208,宝山,大场镇,南北直通 通风采光好 日式装修保养好 拎包即可入住房主自荐,358万,2室2厅 | 90.39平米 | 南 | 精装 | 低楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_5tBYvWJ3X_1.jpg.296x216.jpg
20200208,宝山,大场镇,近地铁，配套设施齐全 交通便利 出行方便,172万,1室1厅 | 40.92平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_pPqMk8svN_1.jpg.296x216.jpg
20200208,宝山,大场镇,满五唯一，交通便利，两卧朝南，业主诚意出售,310万,2室1厅 | 80.17平米 | 南 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-73ee1185-15c1-4668-b5f9-ba176414b776.jpg.296x216.jpg
20200208,宝山,大场镇,新改造次新小区，楼间距宽，低楼层，看房方便,280万,2室1厅 | 72.3平米 | 南 | 简装 | 低楼层(共6层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_uhoD3uDWV_1.jpg.296x216.jpg
20200208,宝山,大场镇,7号线场中路地铁240米  附带10天井一室户房主自荐,136万,1室1厅 | 27.38平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_rRBSVjnXV_1.jpg.296x216.jpg
20200208,宝山,大场镇,上大阳光乾和园 1室1厅 271万,271万,1室1厅 | 59平米 | 南 北 | 精装 | 中楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_E4hC55gV3_1.jpg.296x216.jpg
20200208,宝山,大场镇,一手动迁，方便看房，经典双南，采光充足，交通便利房主自荐,280万,2室1厅 | 78.8平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_yQnRw5n0a_1.jpg.296x216.jpg
20200208,宝山,大场镇,此房满五唯一，双南两房，精装修，保养很好，保留家电,290万,2室1厅 | 71.6平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_QnuzV2etc_1.jpg.296x216.jpg
20200208,宝山,大场镇,环镇北路400弄 2室1厅 260万,260万,2室1厅 | 59.08平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_h9PhPcklO_1.jpg.296x216.jpg
20200208,宝山,大场镇,近地铁 公交出行方便  南北通风,180万,1室1厅 | 40.92平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_SVgtRmccf_1.jpg.296x216.jpg
20200208,宝山,大场镇,乾溪新村 1室1厅 166万,166万,1室1厅 | 40.87平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Xdmg7KyrS_1.jpg.296x216.jpg
20200208,宝山,大场镇,乾溪二村，看房方便，毛坯房，改动空间大,315万,2室1厅 | 78.71平米 | 南 | 毛坯 | 中楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-76e41101-b7f8-408d-9931-943d51f1cc17.jpg.296x216.jpg
20200208,宝山,大场镇,7号线场中路双南两房，看房方便，诚意卖价格可谈,256万,2室1厅 | 67.22平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3c64780a-d527-4439-991a-d22b39e7132b.jpg.296x216.jpg
20200208,宝山,大场镇,毛坯房给您更多的自由装修空间.房主自荐,344万,2室2厅 | 91.24平米 | 南 北 | 毛坯 | 低楼层(共5层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-98490b46-6925-4663-a1de-1e8fb06b9bb8.jpg.296x216.jpg
20200208,宝山,大场镇,近地铁 交通便利 生活配套齐全 业主诚售 随时看看房,168万,1室1厅 | 41.02平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_NqUov1MBw_1.jpg.296x216.jpg
20200208,宝山,大场镇,南北通一房，前后无遮挡，采光好,205万,1室1厅 | 51.33平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ce99b534-367a-4dbf-88a9-fcef2490b9c0.jpg.296x216.jpg
20200208,宝山,大场镇,满五唯一免个税 配套齐全 交通便利  正气房型房主自荐,355万,3室1厅 | 87.23平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_uZflQBxlE_1.jpg.296x216.jpg
20200208,宝山,大场镇,乾溪新村 2室1厅 252万房主自荐,252万,2室1厅 | 58.07平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_6fGwF4FVV_1.jpg.296x216.jpg
20200208,宝山,大场镇,位置好交通方便   毛坯房 原始户型随你改 随时可看房主自荐,275万,2室1厅 | 72.11平米 | 南 | 毛坯 | 低楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9557572a-27c2-4d08-b93a-e1b3d5f2322d.jpg.296x216.jpg
20200208,宝山,大场镇,聚丰福邸 2室1厅 455万,455万,2室1厅 | 89.56平米 | 南 | 精装 | 高楼层(共18层) | 2014年建 | 板楼,https://image1.ljcdn.com/shfdfs-image/20161026/66e2dced-c0ee-4d03-a588-8609db1f685c.jpg.296x216.jpg
