20200208,宝山,共富,房子满五唯一 采光好 错开的南北,305万,2室1厅 | 79平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_JnsOvG0gv_1.jpg.296x216.jpg
20200208,宝山,共富,二村无个税，中间楼层，采光充足，一梯两户得房率高,325万,3室2厅 | 89.65平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_DdDnimV6v_1.jpg.296x216.jpg
20200208,宝山,共富,02年房龄+正气户型+环境优雅+生活便利+诚心出售房主自荐,436万,3室2厅 | 118.91平米 | 南 北 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-52465934-07c5-490b-b55a-7ba0fc0aea50.jpg.296x216.jpg
20200208,宝山,共富,宝山之星2+1户型+带车位+房型正气+窗外湿地公园！,520万,3室1厅 | 92平米 | 南 | 精装 | 低楼层(共16层)  | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5527cb6f-2234-4591-8913-af72b36b90fa.jpg.296x216.jpg
20200208,宝山,共富,店长推荐：单价低，大三居，楼层好，必看好房房主自荐,450万,3室2厅 | 123.83平米 | 南 | 精装 | 低楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_l5EADNMCW_1.jpg.296x216.jpg
20200208,宝山,共富,01年大三房+2楼+交通便利+配套齐全+看房方便,470万,3室2厅 | 126.21平米 | 南 | 简装 | 低楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d110ff98-b45f-4854-8a88-bdb468e85304.jpg.296x216.jpg
20200208,宝山,共富,交通便利， 满五唯一，户型方正，双南两房。,265万,2室2厅 | 71.53平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8d056b45-f6ed-415c-b5e8-b3df7916235d.jpg.296x216.jpg
20200208,宝山,共富,错层南北两房，02年次新房，小区环境优美！房主自荐,382万,2室2厅 | 97.58平米 | 南 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-7786982c-8322-4c7d-95a5-9e47beb8fb76.jpg.296x216.jpg
20200208,宝山,共富,富隆苑1房+楼层低+出行方便+环境好+看房方便房主自荐,305万,1室1厅 | 82.16平米 | 南 | 精装 | 低楼层(共14层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/ebd0b10d-3ecf-4c87-933b-d1cc7f6a1f81_1000.jpg.296x216.jpg
20200208,宝山,共富,近地铁，小区边套，无遮挡，全明户型，拎包入住。,370万,3室2厅 | 100.13平米 | 南 | 精装 | 中楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_oSsbAcFtA_1.jpg.296x216.jpg
20200208,宝山,共富,16年精装修，单价低，双南大两房，一梯两户，全明户型,293万,2室2厅 | 83.75平米 | 南 北 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_odyGqgbxO_1.jpg.296x216.jpg
20200208,宝山,共富,《店长推荐》上新好房1号线共富新村站  非顶楼正3房房主自荐,335万,3室1厅 | 83.32平米 | 南 北 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_W2cZUpCTY_1.jpg.296x216.jpg
20200208,宝山,共富,外环以内普通住宅，2001年次新房，南北两房,340万,2室2厅 | 85.77平米 | 南 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_nUjNm0UFK.jpg.296x216.jpg
20200208,宝山,共富,飞机户型大三房+自带50平三个小花园+采光充足+1号线,465万,3室2厅 | 129.09平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ac2d5ed4-0ef7-48be-a663-05f85dffff3f.jpg.296x216.jpg
20200208,宝山,共富,1号线小区中间位置 中间楼层 一梯两户 采光好 楼层佳,205万,1室1厅 | 51.27平米 | 南 北 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f42c2aeb-127e-44cb-b2ca-d410c6a9a0e1.jpg.296x216.jpg
20200208,宝山,共富,满五唯一+南北户型（有改动）+采光好+看房方便房主自荐,193万,1室1厅 | 49.83平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_El6e5CFAI_1.jpg.296x216.jpg
20200208,宝山,共富,店长推荐好房源，中间楼层，满五年无个税房主自荐,243万,1室2厅 | 57.72平米 | 南 北 | 精装 | 中楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ArjqnxuRP.jpg.296x216.jpg
20200208,宝山,共富,lianjia.优选 全明户型，双南卧室，楼层低出行方便房主自荐,262万,2室1厅 | 65.34平米 | 南 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_y6K7gVZry_1.jpg.296x216.jpg
20200208,宝山,共富,香，真香，好香，中间楼层，中间位置，地铁800米！！房主自荐,280万,2室1厅 | 70.9平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8oecofl2M_1.jpg.296x216.jpg
20200208,宝山,共富,房本满五的横套间，楼层好位置好房型优房主自荐,225万,1室2厅 | 53.73平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_lvwI3h1uT_1.jpg.296x216.jpg
20200208,宝山,共富,02年小区（链家优选）+2楼+在小区丽位置好+楼间距大+,357万,2室2厅 | 87.46平米 | 南 | 简装 | 中楼层(共5层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-bce92896-02be-4859-a297-5af5a554065e.jpg.296x216.jpg
20200208,宝山,共富,《 全明户型+两房朝南+厅朝东》带17平米天井花园房主自荐,268万,2室1厅 | 67.84平米 | 南 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ee029807-232e-4c50-b01b-3cd28468811e.jpg.296x216.jpg
20200208,宝山,共富,链家优选，中层南北两房，满五唯一，厨卫分明，随时看房主自荐,321万,2室2厅 | 78.71平米 | 南 | 简装 | 低楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_leimYwWv6_1.jpg.296x216.jpg
20200208,宝山,共富,富康园+3房2卫链家优选+楼层好+房型正气+交通方便,460万,3室2厅 | 126.21平米 | 南 | 简装 | 低楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-bb370187-5cda-4625-ac21-05c7a3916522.jpg.296x216.jpg
20200208,宝山,共富,zhongyang空调带地暖+楼层高区+小区带会所+室内外泳池,720万,4室2厅 | 131平米 | 南 北 | 精装 | 高楼层(共15层)  | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_U2ozut6mN.jpg.296x216.jpg
20200208,宝山,共富,大宁北玉兰公馆 3室2厅 700万房主自荐,700万,3室2厅 | 120.33平米 | 南 北 | 其他 | 高楼层(共15层) | 2016年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_HvP5IECwZ.jpg.296x216.jpg
20200208,宝山,共富,业主定居国外急售此房+满五唯一+有钥匙 +税费各付！,405万,3室2厅 | 116.54平米 | 南 北 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_hgTn2MRfI_1.jpg.296x216.jpg
20200208,宝山,共富,满五唯一，交通便利，无遮挡，业主诚售,295万,2室1厅 | 79平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-fa2464ec-8008-4c9b-81f7-74810a77bb91.jpg.296x216.jpg
20200208,宝山,共富,精装修，满五唯一，中楼层业主诚心出售，,198万,1室1厅 | 49.7平米 | 南 | 精装 | 中楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_5D3sjshE6_1.jpg.296x216.jpg
20200208,宝山,共富,宝山共富四村精装修2房中间楼层采光好视野开阔安静房主自荐,330万,2室2厅 | 80.46平米 | 南 | 精装 | 中楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_KnkLcqNQs_1.jpg.296x216.jpg
20200208,宝山,共富,富隆苑+电梯南北2房+楼层好+装修好+拎包入住+看房方便房主自荐,425万,2室2厅 | 104.31平米 | 南 | 精装 | 中楼层(共14层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_KOCb7CPhd_1.jpg.296x216.jpg
20200208,宝山,共富,近地铁+精装修，非顶楼，前排无遮挡视野好，采光足。房主自荐,199万,1室1厅 | 51.04平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_cEK8eRnBh_1.jpg.296x216.jpg
20200208,宝山,共富,1号线地铁 刚需三房 店长推荐一梯二户 小区中间位置,333万,3室1厅 | 88.4平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9dabefcc-c4d5-4c88-8541-f57780ed4d8d.jpg.296x216.jpg
20200208,宝山,共富,电梯房，满五唯一，中楼层，全明户型，采光充足，可谈,500万,3室2厅 | 138.58平米 | 南 | 简装 | 中楼层(共11层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-55cfed58-2f89-42bc-a237-d52c2b77cae1.jpg.296x216.jpg
20200208,宝山,共富,南北通透，户型正气，交通便利，出行方便房主自荐,294万,2室1厅 | 84平米 | 南 北 | 精装 | 中楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a6df6e4e-ab7b-45c7-862f-6711028c548d.jpg.296x216.jpg
20200208,宝山,共富,链家优选，中层南北两房，交通便利，生活配套齐全房主自荐,246万,2室1厅 | 57.6平米 | 南 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_IOTnDUtxq_1.jpg.296x216.jpg
20200208,宝山,共富,业主诚心出售， 楼层适中，满五唯一，采光充足房主自荐,297万,3室1厅 | 77.45平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Fy2JSHyIt_1.jpg.296x216.jpg
20200208,宝山,共富,满五唯一+南北全明户型+交通便利,275万,2室1厅 | 76.67平米 | 南 北 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_uskhvibu2_1.jpg.296x216.jpg
20200208,宝山,共富,宝山共富三村一楼带双天井双南户型采光好户型方正房主自荐,289万,2室1厅 | 70.62平米 | 南 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_r16MtEWk1_1.jpg.296x216.jpg
20200208,宝山,共富,新二村，双南两房，only one 店长推荐房主自荐,293万,2室1厅 | 78.14平米 | 南 | 简装 | 高楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_E1CjBxwf2_1.jpg.296x216.jpg
