20200208,闵行,春申,纯商品房无个税 位置安静 南北双阳台 精装修 非顶楼房主自荐,338万,2室2厅 | 82.6平米 | 南 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Vr4gH61ZA_1.jpg.296x216.jpg
20200208,闵行,春申,此房一梯两户 边套全明 采光好 毛坯房 标准三房,409万,3室1厅 | 86.33平米 | 南 | 毛坯 | 中楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_q66peyQ80_1.jpg.296x216.jpg
20200208,闵行,春申,两房朝南采光佳，交通出行方便，随时看房.,450万,2室2厅 | 82平米 | 南 | 毛坯 | 中楼层(共19层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_kjqpxGAwa_1.jpg.296x216.jpg
20200208,闵行,春申,正气南北通，好楼层，采光足，动迁税少，产权清晰房主自荐,520万,3室2厅 | 119平米 | 南 | 毛坯 | 高楼层(共11层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Zo2egQBRj_1.jpg.296x216.jpg
20200208,闵行,春申,《荐》楼下花园+高区视野+地暖+满五唯一+有车位,673万,2室1厅 | 96.89平米 | 南 北 | 简装 | 中楼层(共17层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_oEbLHUTZp_1.jpg.296x216.jpg
20200208,闵行,春申,中城绿苑  正气三房  一梯两户 景观位置   背靠公园,735万,3室2厅 | 115平米 | 南 | 精装 | 低楼层(共14层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_0kGIErZxt_1.jpg.296x216.jpg
20200208,闵行,春申,《好房推荐》+景城南北+两个卫生间+有车位+满五唯一房主自荐,695万,2室2厅 | 106.81平米 | 南 | 精装 | 低楼层(共15层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_lQgcV4jnY_1.jpg.296x216.jpg
20200208,闵行,春申,采光好 通风好  位置不靠路 南北双阳台 纯商品房小区,375万,2室2厅 | 83.16平米 | 南 | 精装 | 中楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_c7UegEfg3_1.jpg.296x216.jpg
20200208,闵行,春申,春申景城湖滨晨韵 2室2厅 656万房主自荐,656万,2室2厅 | 106.23平米 | 南 | 精装 | 高楼层(共17层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_q4LNnAZ9x_1.jpg.296x216.jpg
20200208,闵行,春申,带产权车位，精装三房复式，房型正气，采光好,1050万,3室3厅 | 179.34平米 | 南 | 精装 | 高楼层(共11层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_RmjKzM6bn_1.jpg.296x216.jpg
20200208,闵行,春申,小区安静位置，户型正气，诚意出售，看房方便,718万,3室2厅 | 111.25平米 | 南 | 简装 | 低楼层(共10层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_l9v65a6ka_1.jpg.296x216.jpg
20200208,闵行,春申,非顶楼，全天采光无遮挡，诚意卖，随时可以签字,520万,3室2厅 | 131.76平米 | 南 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_GZEjT4yG8_1.jpg.296x216.jpg
20200208,闵行,春申,四期中间楼层大三房，房型正气装修好，诚意出售！,529万,3室2厅 | 118平米 | 南 北 | 精装 | 中楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4bddba7d-a72f-4847-93e6-5cd80defc519.jpg.296x216.jpg
20200208,闵行,春申,《荐》面湖而立+高区俯瞰湖景+视野好+税费少+有车位,738万,2室2厅 | 103.6平米 | 南 | 精装 | 高楼层(共17层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-54a38993-8b66-46a7-b8a4-a2837b1ccfdb.jpg.296x216.jpg
20200208,闵行,春申,春申景城湖滨晨韵 1室1厅 459万,459万,1室1厅 | 55.62平米 | 南 | 简装 | 高楼层(共17层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_DzG3YxMrE_1.jpg.296x216.jpg
20200208,闵行,春申,普乐三村双南两房 房型正气 楼层好位置好 诚意出售房主自荐,269万,2室1厅 | 69.8平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4bddea06-794b-45f7-b5fc-2a0a6acfeea0.jpg.296x216.jpg
20200208,闵行,春申,【2008年房龄】【2楼南北两房两厅】【位置好】,386万,2室2厅 | 92.81平米 | 南 | 毛坯 | 低楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-23fbbebf-d827-4534-823e-a2db85410ecb.jpg.296x216.jpg
