20200208,宝山,共康,2003年+满五唯一+买一层带阁楼+诚意出售,690万,3室2厅 | 121.71平米 | 南 北 | 简装 | 高楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/da8e3b7d-c3aa-4bb2-91de-b06efda73c77_1000.jpg.296x216.jpg
20200208,宝山,共康,高区视野 南北通风 双卫生间 少有户型 人车分流,610万,2室2厅 | 101.99平米 | 南 | 精装 | 中楼层(共18层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ujbfQ4dDs_1.jpg.296x216.jpg
20200208,宝山,共康,三面环公园环境好+未来地铁便利+业主诚意,450万,2室1厅 | 78平米 | 北 | 其他 | 低楼层(共10层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Fm9oGOGgy_1.jpg.296x216.jpg
20200208,宝山,共康,和欣国际花园 2室2厅 642万,642万,2室2厅 | 99.3平米 | 南 | 精装 | 高楼层(共18层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_cTjrxPbsl_1.jpg.296x216.jpg
20200208,宝山,共康,非顶楼 近地铁正气一房 满五税少 看房方便,235万,1室1厅 | 51.59平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_T6HQl8ur0_1.jpg.296x216.jpg
20200208,宝山,共康,商品房满五年，原始户型，呼兰站996米，天然公园,355万,1室2厅 | 67.61平米 | 南 | 精装 | 低楼层(共18层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/7164e0e6-d426-4a3a-83c5-1a4c03eb378a_1000.jpg.296x216.jpg
20200208,宝山,共康,南北户型，采光良好，户型方正，恬静安然,430万,2室2厅 | 82.97平米 | 南 北 | 其他 | 低楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_KhZ9YeLnQ_1.jpg.296x216.jpg
20200208,宝山,共康,2015年新小区，精装修南北两房，全明户型房主自荐,445万,2室2厅 | 88.46平米 | 南 北 | 精装 | 低楼层(共17层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/93a4a0ee-aa89-43f8-866a-56757950b244_1000.jpg.296x216.jpg
20200208,宝山,共康,小区中间位置，双南户型，满五税费少房主自荐,530万,2室2厅 | 80.17平米 | 南 | 精装 | 低楼层(共18层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/4d8da265-01d4-4ac5-9fcf-8d3d739574aa_1000.jpg.296x216.jpg
20200208,宝山,共康,和欣国际花园 2室2厅 620万房主自荐,620万,2室2厅 | 99.66平米 | 南 北 | 其他 | 中楼层(共16层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/618474ca-1da5-473e-80e2-e452f5093b62_1000.jpg.296x216.jpg
20200208,宝山,共康,高区采光好，满五唯一，看房提前联系,740万,3室2厅 | 119.38平米 | 南 | 简装 | 高楼层(共16层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-004c103d-8a69-4e45-aa75-9c34eb866fc0.jpg.296x216.jpg
20200208,宝山,共康,Lianjia.共康公寓小七村+飞机三房+环境优美+急卖！！,429万,3室2厅 | 93.63平米 | 南 北 | 精装 | 低楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_GW5uJCVdB.jpg.296x216.jpg
20200208,宝山,共康,满五年唯一，厨卫朝北，采光好，近地铁。,219万,1室1厅 | 49.89平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2c9b2977-299a-4722-a579-b86e4e411831.jpg.296x216.jpg
20200208,宝山,共康,共康八村 2室1厅 265万,265万,2室1厅 | 61.31平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_sg4iX2siD_1.jpg.296x216.jpg
20200208,宝山,共康,一梯两户商品房，户型好，采光好视野开阔。,390万,2室2厅 | 84.63平米 | 南 | 简装 | 低楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d3e54aca-9528-41d6-9a39-cb74630fd5d4.jpg.296x216.jpg
20200208,宝山,共康,共康五村 2室1厅 235万,235万,2室1厅 | 52.14平米 | 南 | 其他 | 中楼层(共4层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/de556733-14d9-4bfa-b157-34a11a3f43dc_1000.jpg.296x216.jpg
20200208,宝山,共康,和欣国际花园 2室2厅 550万,550万,2室2厅 | 85.48平米 | 南 | 精装 | 中楼层(共17层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/e872fc86-b524-4e55-9745-99c3b090f5f8_1000.jpg.296x216.jpg
20200208,宝山,共康,客厅带窗，厨卫朝过道，全明户型，楼层好,230万,1室1厅 | 52.91平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3a96c642-77f5-4f44-a070-36bafa258a88.jpg.296x216.jpg
20200208,宝山,共康,共康七村，一梯两户，精装修，双南户型，商品房近地铁,325万,2室1厅 | 73.78平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-834b7fa1-f8fa-4a4f-aec9-e320adedb324.jpg.296x216.jpg
20200208,宝山,共康,：共康七村 一梯两户 户型正气 新房买好 诚心出售,273万,2室1厅 | 67.59平米 | 南 | 精装 | 高楼层(共7层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4d431389-fdac-4cb7-a25b-1b91cb96c278.jpg.296x216.jpg
20200208,宝山,共康,双南双天井  户型方正 看房方便,325万,2室1厅 | 67.79平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_P6HBT65lA_1.jpg.296x216.jpg
20200208,宝山,共康,双轨交通 配套成熟  有产权车位 空气流通性好房主自荐,498万,2室2厅 | 83.92平米 | 南 | 精装 | 中楼层(共16层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8QCEPnYoy_1.jpg.296x216.jpg
20200208,宝山,共康,共康七村三房，全明通透，一号线通河站，交通便利。,575万,3室2厅 | 122.8平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_eBg9OdZYd_1.jpg.296x216.jpg
20200208,宝山,共康,中环国际公寓(二期) 2室2厅 430万,430万,2室2厅 | 82.7平米 | 南 北 | 毛坯 | 低楼层(共17层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/05ca69f3-6a5c-44e5-ae39-8c1f0211176c_1000.jpg.296x216.jpg
20200208,宝山,共康,共康七村 3室1厅 530万,530万,3室1厅 | 111.2平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_usDEGIQpO_1.jpg.296x216.jpg
