20200208,宝山,淞宝,此房满五唯一，全明户型，一梯两户,455万,3室1厅 | 76.54平米 | 南 | 简装 | 中楼层(共5层) | 1981年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_X6zkveV22.jpg.296x216.jpg
20200208,宝山,淞宝,宝山三村 2室1厅 410万,410万,2室1厅 | 92.48平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_E7sADcV9x.jpg.296x216.jpg
20200208,宝山,淞宝,钥匙房，交通出行方便，非顶楼，采光好，全明户型,203万,2室1厅 | 56.45平米 | 南 北 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b5994ada-3691-4048-bf17-19bcf9927722.jpg.296x216.jpg
20200208,宝山,淞宝,满五唯一，钥匙房，诚心出售，不临街地铁水产路一公里,158万,1室1厅 | 42.3平米 | 南 | 简装 | 中楼层(共6层) | 1986年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-cb5041e1-a2ca-4e6d-9479-a50fe26568b3.jpg.296x216.jpg
20200208,宝山,淞宝,南北通透，边套全明，配套成熟，宜自住宜出租。,142万,1室1厅 | 37.3平米 | 南 北 | 精装 | 低楼层(共6层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_610Oy0wu0.jpg.296x216.jpg
20200208,宝山,淞宝,海江二村 1室1厅 165万,165万,1室1厅 | 39.03平米 | 南 | 其他 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_hWLR5ZvWF.jpg.296x216.jpg
20200208,宝山,淞宝,海滨二村 朝南1房视野开阔 采光充足，靠轻轨水产路站,124万,1室1厅 | 32.64平米 | 南 | 简装 | 高楼层(共5层) | 1982年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-d1d0c676-af4f-49ae-83bf-992a75e61a7e.png.296x216.jpg
20200208,宝山,淞宝,永清二村好楼层，靠水产路小门不靠马路到地铁方便,155万,1室1厅 | 41.74平米 | 南 | 简装 | 低楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-b0179308-cc6a-4e7c-beb1-cc128be4038e.png.296x216.jpg
20200208,宝山,淞宝,南北通，采光好，户型方正，业主诚心售房,199万,2室1厅 | 56.53平米 | 东南 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_71J72RRI0.jpg.296x216.jpg
20200208,宝山,淞宝,看房随时方便，一房一厅，房型正气,153万,1室1厅 | 42.12平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_fLhIjp5xk.jpg.296x216.jpg
20200208,宝山,淞宝,小一句，温馨的家，一梯三户，朝南，采光好,162万,1室1厅 | 40.49平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ozezK8TA2.jpg.296x216.jpg
20200208,宝山,淞宝,一梯两户  全明户型  采光好   交通便利,160万,1室1厅 | 42.2平米 | 南 | 毛坯 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_m6K6nkwbZ.jpg.296x216.jpg
20200208,宝山,淞宝,海江二村 T户型 中间楼层 产权清晰,170万,1室1厅 | 42.89平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_IKAqjOMcX.jpg.296x216.jpg
20200208,宝山,淞宝,永清新村一改二户型，精装修全明，采光好,150万,1室1厅 | 42.79平米 | 南 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_2AqN7yb9K.jpg.296x216.jpg
20200208,宝山,淞宝,非顶楼 装修保养好 看房有钥匙随时可以看,162万,1室1厅 | 41.42平米 | 南 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Kuha3IJWB.jpg.296x216.jpg
20200208,宝山,淞宝,两房的区别，双南户型，小区中间位置，视野好,320万,2室1厅 | 74.19平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_uMDDOOYzn.jpg.296x216.jpg
20200208,宝山,淞宝,永清新村 精装南向一室一厅 高楼层 采光充足,165万,1室1厅 | 43.4平米 | 南 | 精装 | 高楼层(共6层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-527935af-9022-4c81-84d8-2e4a83315889.jpg.296x216.jpg
20200208,宝山,淞宝,中间楼层 主卧朝南 客厅朝南采光好 不靠马路位置安静,159万,1室1厅 | 38.38平米 | 南 | 简装 | 中楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-7f0b6492-ecef-441c-9ebb-45edc058b1c0.jpg.296x216.jpg
20200208,宝山,淞宝,此房满五唯一，双南两房，适合年轻人购置为新房,250万,2室1厅 | 66.42平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-0ab15386-4a32-4771-a576-e57f980c4fe7.jpg.296x216.jpg
20200208,宝山,淞宝,降价房源，产权满五唯一，南北通风 厨卫朝北明窗,205万,2室1厅 | 50.28平米 | 南 北 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8f48d1f3-df65-4d4a-a069-2b8f5297b4ad.jpg.296x216.jpg
