20200208,闵行,老闵行,昆阳小区 1室1厅 102万必看好房,102万,1室1厅 | 38平米 | 南 | 精装 | 中楼层(共6层) | 1984年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_0x21iRME6_1.jpg.296x216.jpg
20200208,闵行,老闵行,南北户型，中间楼层，总价低，优质两房，业主诚意出售必看好房,225万,2室1厅 | 58.82平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_LmaypUs4R_1.jpg.296x216.jpg
20200208,闵行,老闵行,昆阳小区 1室1厅 103万必看好房,103万,1室1厅 | 36.96平米 | 南 | 精装 | 中楼层(共6层) | 1984年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_7ijOO0JZ5_1.jpg.296x216.jpg
20200208,闵行,老闵行,总价低，主卧朝南厅朝南户型，采光充足，看房方便必看好房,154万,2室1厅 | 52.98平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-49807483-4513-4921-9eec-9c472da753aa.png.296x216.jpg
20200208,闵行,老闵行,出售 | 剑桥丽苑，精装一室，诚心出售，看房方便必看好房,230万,1室1厅 | 58平米 | 南 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a077f32a-b0e0-4463-8e5b-78ccc61685b8.jpg.296x216.jpg
20200208,闵行,老闵行,此房是复式房 顶层带40平米阁楼 诚心出售必看好房,438万,2室2厅 | 78平米 | 南 | 简装 | 高楼层(共7层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/89306c07-9713-455a-b797-238983bdbb21.jpg.296x216.jpg
20200208,闵行,老闵行,北进门南花园，居家装修，全屋空调加地暖，产权清晰，必看好房,865万,4室2厅 | 174.18平米 | 南 北 | 精装 | 低楼层(共1层) | 2005年建 | 板塔结合,https://image1.ljcdn.com/310000-inspection/88f11a0f-8c29-412d-8447-899b2866b3e4.jpg.296x216.jpg
20200208,闵行,老闵行,满五唯一无增值税个税+总价低+16万精装修+诚心出售必看好房,179万,2室1厅 | 59.83平米 | 南 | 精装 | 高楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ce60f31c-9106-40d8-8267-d3b7121ede8e.jpg.296x216.jpg
20200208,闵行,老闵行,5号线，剑川路站，复式大四房    南北通  采光好,530万,4室2厅 | 162平米 | 南 | 简装 | 高楼层(共7层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-14023e71-12f6-4d21-84d3-c134cf43883b.jpg.296x216.jpg
20200208,闵行,老闵行,凤庆小区 2室1厅 159.5万,159.5万,2室1厅 | 53.04平米 | 南 | 简装 | 中楼层(共5层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-ae4d07fd-f8d8-4cae-a44c-46c35c9cf2a5.png.296x216.jpg
20200208,闵行,老闵行,近地铁，次新房，总价低，首付少房主自荐,220万,1室2厅 | 58.2平米 | 南 北 | 简装 | 高楼层(共17层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-babb8a60-9f28-4c62-9d40-b7e41ce2d447.jpg.296x216.jpg
20200208,闵行,老闵行,万科城2019年新装修带地暖带空调三房两厅两卫,440万,3室2厅 | 101平米 | 南 | 精装 | 低楼层(共18层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-43ec74ab-504d-4ac9-b0c5-da5f5b846068.jpg.296x216.jpg
20200208,闵行,老闵行,星河景苑三房，双南房，楼层好，采光佳，前方无遮挡,420万,3室1厅 | 97平米 | 南 北 | 精装 | 中楼层(共14层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-1ec9ed2c-b82a-4dbb-98da-c5d5dbb844ee.png.296x216.jpg
20200208,闵行,老闵行,小三房两南一北近欧尚 龙湖 上海交大 上海五医院好谈,365万,3室2厅 | 96.82平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-a1906c45-7be3-4a89-90a2-af647eac22eb.png.296x216.jpg
20200208,闵行,老闵行,花园位置！6复7舒适挑高5.5，带30万精装带20平露台,520万,4室2厅 | 129.62平米 | 南 北 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-69fe7f81-d60e-4a07-b46e-a5f0fd91f758.jpg.296x216.jpg
20200208,闵行,老闵行,01年小区浇筑结构，南北通透3房2卫，次顶楼采光充足,490万,3室2厅 | 117.9平米 | 南 北 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b06bdfb7-2208-4e3c-8713-865f4bfe48ee.jpg.296x216.jpg
20200208,闵行,老闵行,小区位置好，5号线，复式6复7带阁楼，户型宽敞！,490万,4室2厅 | 126平米 | 南 北 | 精装 | 高楼层(共7层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-009d51a2-4140-46b9-9cb0-19510d7bb286.jpg.296x216.jpg
20200208,闵行,老闵行,鹤北新村，正气三房，满五唯一，房东诚心出售,300万,3室1厅 | 83.47平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-18767c03-d71a-42a1-8759-48617711a391.jpg.296x216.jpg
20200208,闵行,老闵行,鹤北新村南北两房，精装修，满五唯一房主自荐,260万,2室1厅 | 69.07平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-7229535b-d201-4e85-baa7-08ecfbccb5a4.jpg.296x216.jpg
20200208,闵行,老闵行,《沧源小区》 诚意出售  三楼 欢迎咨询房主自荐,320万,2室1厅 | 88.58平米 | 西南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-bbe3407d-9603-47cd-9df3-b88ef4624dcc.jpg.296x216.jpg
20200208,闵行,老闵行,小区中间位置，视野开阔，采光佳,720万,3室2厅 | 134.82平米 | 南 | 精装 | 高楼层(共18层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e7fff5d0-bf02-47ce-8aee-6779e615810a.jpg.296x216.jpg
20200208,闵行,老闵行,红旗四街坊，2000年以后的房子，交通便利，位置好,279万,2室1厅 | 89.16平米 | 南 | 精装 | 中楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-19536004-ee01-4ce6-85da-1faefa30c4c4.png.296x216.jpg
20200208,闵行,老闵行,东边户型，南北通，在售的少，交通方便，自备配套,370万,3室2厅 | 95平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1559303a-5903-4afc-9b31-b128699059a5.jpg.296x216.jpg
20200208,闵行,老闵行,万国府3房2卫 经典户型  次新房 品质小区 东边套诚售房主自荐,590万,3室2厅 | 114.56平米 | 南 | 毛坯 | 低楼层(共17层)  | 板楼,https://image1.ljcdn.com/310000-inspection/prod-7dd84f2a-3728-4ba6-9cb8-f30b10fd0f89.jpg.296x216.jpg
20200208,闵行,老闵行,配有交大丰富的教育齐全 电梯房 地铁5号线 小区品质佳,560万,3室2厅 | 129.02平米 | 南 | 精装 | 低楼层(共17层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-727a70a0-7e66-4e67-8616-6d324467b292.png.296x216.jpg
20200208,闵行,老闵行,本周好房  南北两房 精装修 景观楼层房主自荐,238万,2室2厅 | 72.77平米 | 南 北 | 精装 | 高楼层(共18层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_BfiFsVa0N_1.jpg.296x216.jpg
