20200208,徐汇,万体馆,售后公房，双南两房，三条地铁线出行便利，价格可谈,425万,2室1厅 | 62.45平米 | 南 | 毛坯 | 中楼层(共6层) | 1981年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a6c6af09-59f3-4402-9607-26be2429af0e.jpg.296x216.jpg
20200208,徐汇,万体馆,房东诚售降价、两房朝南、厅朝南、阳光充足、带楼台,1280万,3室2厅 | 143.48平米 | 南 | 毛坯 | 低楼层(共21层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-bd4530fc-e83e-41c3-833a-b913a93fea32.png.296x216.jpg
20200208,徐汇,万体馆,该房屋为售后公房满五年唯一，产权清晰，随时可看房,538万,2室1厅 | 73.74平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-cd169cb1-8eee-458e-b7a5-d32180a25ee0.jpg.296x216.jpg
20200208,徐汇,万体馆,满五年、高楼层、两梯三户、厅南北通、户型正气,1210万,3室2厅 | 132.02平米 | 南 | 精装 | 高楼层(共33层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-77e03c62-92e5-473d-b934-2ea341473cc1.jpg.296x216.jpg
20200208,徐汇,万体馆,产权车位、满五年、两房朝南、阳光无遮挡,1000万,2室2厅 | 108.54平米 | 南 | 精装 | 低楼层(共36层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c96eb270-a5ef-4e17-a5b2-8ae08eead6a6.jpg.296x216.jpg
20200208,徐汇,万体馆,(1/4号线地铁口，双南房型)   (格局好，视野佳),338万,2室1厅 | 50.95平米 | 南 | 简装 | 高楼层(共6层) | 1984年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a81f608c-f9f3-4860-aceb-f9330139e4cc.jpg.296x216.jpg
20200208,徐汇,万体馆,1/4/11号线交错+93年房龄+一房一厅+采光通风好,260万,1室1厅 | 41.44平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-478adbe3-5034-42af-b8cc-b66c96f6ef1f.jpg.296x216.jpg
20200208,徐汇,万体馆,徐汇日月光板块+1/12号线，售后公房税费少，中间楼层,435万,2室1厅 | 55.98平米 | 南 | 精装 | 中楼层(共4层) | 1984年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Zq8ELBqTn.jpg.296x216.jpg
20200208,徐汇,万体馆,徐汇日月光+1/12号线地铁口+中间楼层+低总价,340万,2室1厅 | 43.18平米 | 南 | 简装 | 中楼层(共6层) | 1987年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_e2T1lDjSY.jpg.296x216.jpg
20200208,徐汇,万体馆,满五唯一税少/三开间朝南/两卫/钥匙房/随时可看,850万,2室2厅 | 122.14平米 | 南 | 简装 | 高楼层(共24层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/dacf2be6-d8ef-415e-b27c-6f44282478ad_1000.jpg.296x216.jpg
20200208,徐汇,万体馆,看房方便、一梯三户、南北户型、求知旁、婚房装修,380万,2室1厅 | 58.03平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/8f48c428-60c2-44c6-82ff-43f4a80a43e4_1000.jpg.296x216.jpg
20200208,徐汇,万体馆,一梯两户+安静舒适+婚房装修+看房方便,880万,2室2厅 | 122.14平米 | 南 | 精装 | 低楼层(共24层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8c7dacca-b1e7-4e38-86e8-f139fdf6137e.jpg.296x216.jpg
20200208,徐汇,万体馆,百变户型，精装电梯，小区当中，采光强，税费不高,566万,2室1厅 | 88.71平米 | 东北 | 精装 | 低楼层(共22层) | 1997年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/0a227bd1-89bf-4909-9769-caef93d73fd3_1000.jpg.296x216.jpg
20200208,徐汇,万体馆,地铁口 2005年 高区景观两居室 日月光 房本满五年,520万,2室1厅 | 71.9平米 | 东 | 精装 | 高楼层(共24层)  | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_XUbsM8BL5_1.jpg.296x216.jpg
20200208,徐汇,万体馆,售后公房满五年+小区中间位置+双南两房+方便看房主自荐,400万,2室0厅 | 59.38平米 | 南 | 简装 | 高楼层(共6层) | 1985年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_dGfcD8phc_1.jpg.296x216.jpg
20200208,徐汇,万体馆,地铁1/3/12号沿线，近徐汇日月光，南北通复式房，94年房主自荐,580万,2室1厅 | 90平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b2be5419-ed47-4060-b360-44de02e83869.jpg.296x216.jpg
20200208,徐汇,万体馆,近徐家汇配套齐全，交通便捷，采光好，诚意出售！,799万,3室2厅 | 130.57平米 | 南 | 简装 | 低楼层(共18层) | 1997年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_qbK7DPaNz_1.jpg.296x216.jpg
20200208,徐汇,万体馆,内环内，低总价小三房，看房有钥匙,580万,3室1厅 | 83.83平米 | 南 | 简装 | 低楼层(共17层) | 1997年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_0QenCCs72_1.jpg.296x216.jpg
20200208,徐汇,万体馆,澳龙公寓 2室2厅 740万,740万,2室2厅 | 104.98平米 | 南 | 简装 | 高楼层(共24层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_lZZFLIeM0_1.jpg.296x216.jpg
20200208,徐汇,万体馆,房龄新 满五唯一 税少 南北两房 随时看房 诚意出售,690万,2室1厅 | 91.26平米 | 南 | 简装 | 低楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_m1GtzRXSD_1.jpg.296x216.jpg
