20200208,徐汇,上海南站,光华园新上大一房，楼层好，位置佳，业主诚心出售,470万,1室1厅 | 54.84平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ZU38WlXa7_1.jpg.296x216.jpg
20200208,徐汇,上海南站,南北两房，总价低，位置好，出入方便,495万,2室1厅 | 58.03平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9b5d4590-1afe-4ec8-aa6f-3d404d7d89c2.jpg.296x216.jpg
20200208,徐汇,上海南站,双南大两房，采光好，满五唯一，税费低,420万,2室1厅 | 68.94平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-aca9c22c-358c-467b-9590-c407e413ae18.jpg.296x216.jpg
20200208,徐汇,上海南站,汇成三村一房 小面积 总价低 中间楼层,156万,1室0厅 | 29.5平米 | 北 | 毛坯 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-885702dc-a4ee-421a-8d74-7f74c323381f.jpg.296x216.jpg
20200208,徐汇,上海南站,中间楼层  南北通 2房  婚房装修房主自荐,380万,2室1厅 | 71平米 | 南 北 | 精装 | 中楼层(共7层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_nfV1ewPKb_1.jpg.296x216.jpg
20200208,徐汇,上海南站,南北户型双阳台，采光好，楼层好，房东诚心出售,365万,2室1厅 | 59.1平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_67W7VrcCO_1.jpg.296x216.jpg
20200208,徐汇,上海南站,金牛苑 2室1厅 430万,430万,2室1厅 | 74.35平米 | 南 | 其他 | 低楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_w2l6xmQ9d_1.jpg.296x216.jpg
20200208,徐汇,上海南站,上中的教师楼 良好的环境是美好事物的开始房主自荐,395万,1室1厅 | 40.87平米 | 南 | 精装 | 中楼层(共5层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b15a2e28-fc47-4df4-accd-3696b63a6049.jpg.296x216.jpg
20200208,徐汇,上海南站,婚房装修 业主诚售，诚邀您来看房,260万,2室1厅 | 50平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-190a033e-f782-4c99-9013-4db0f2fe614b.jpg.296x216.jpg
20200208,徐汇,上海南站,楼龄新，小区环境好，交通便利，生活舒心,550万,1室2厅 | 71.76平米 | 南 | 精装 | 低楼层(共17层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6a04ea60-fe68-4948-9536-72497bbfebf7.jpg.296x216.jpg
20200208,徐汇,上海南站,动迁房满五不唯一产权清晰随时可签字房主自荐,415万,2室1厅 | 69.26平米 | 南 北 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5116ca63-455c-418c-b938-2243c69e8235.jpg.296x216.jpg
20200208,徐汇,上海南站,楼层好+诚心出售+采光好+价格可谈+配套齐全房主自荐,209万,1室1厅 | 38.6平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-836f1342-d31f-4103-8285-ce41140eba14.jpg.296x216.jpg
