20200208,徐汇,华东理工,中间楼层 南北两房 满五唯一 小区中间位置,260万,2室1厅 | 54.5平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_YCL5rebWz_1.jpg.296x216.jpg
20200208,徐汇,华东理工,两房两厅，新上好房源，位置佳，欢迎前来链家咨询,450万,2室2厅 | 79.06平米 | 南 | 精装 | 6层 | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Rl0gGJn9D_1.jpg.296x216.jpg
20200208,徐汇,华东理工,房子精装修，交通方便，配套齐全，拎包入住.房主自荐,275万,2室1厅 | 58.4平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_r19seiXo5_1.jpg.296x216.jpg
20200208,徐汇,华东理工,南北两房一厅，自住装修，楼层好，前无遮挡采光好,320万,2室1厅 | 61.49平米 | 南 北 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ARzWthwyN_1.jpg.296x216.jpg
20200208,徐汇,华东理工,梅陇五村 2室1厅 360万房主自荐,360万,2室1厅 | 72.57平米 | 西南 | 简装 | 高楼层(共18层) | 1995年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_5i5EVSEvr_1.jpg.296x216.jpg
20200208,徐汇,华东理工,南北两房婚房装修中间楼层房东诚意出售,298万,2室1厅 | 54.53平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_LR0556RJm_1.jpg.296x216.jpg
20200208,徐汇,华东理工,陇南小区  采光好 业主诚意急卖 简装 买下可自行装修房主自荐,223万,1室1厅 | 48.19平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-28485a4b-d553-481e-a6ca-325c4d400ab0.png.296x216.jpg
20200208,徐汇,华东理工,高区好房，中间位置，全明通透户型，采光好随时可看房主自荐,378万,2室1厅 | 81.31平米 | 西南 | 简装 | 高楼层(共18层) | 1996年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-d1b1129b-a44d-4912-a54a-017fe1ece60e.jpg.296x216.jpg
20200208,徐汇,华东理工,梅陇三村五楼两房，精装修，拎包入住,280万,2室1厅 | 53.39平米 | 南 西南 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-683a6fc8-b005-4b47-a90a-c292021c0e48.jpg.296x216.jpg
20200208,徐汇,华东理工,梅陇六村 一楼带花园 满五唯一 业主诚意出售的,185万,1室1厅 | 38.1平米 | 南 | 简装 | 低楼层(共6层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-51bddcf6-a4c3-4f2e-adcb-15a9d8fee5a8.jpg.296x216.jpg
