20200208,闵行,金虹桥,2011年空中别墅，6米挑高，200万精装，税费少，房主自荐,1598万,5室2厅 | 252.5平米 | 南 | 精装 | 高楼层(共17层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-90809da6-d25a-48d7-97b5-0542d4db4f70.png.296x216.jpg
20200208,闵行,金虹桥,三代同堂的选择，04年板式房，买一层有两层，正四房,750万,4室2厅 | 107.05平米 | 南 | 精装 | 高楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-afa81f5a-4fe7-4451-9c5e-4b494c7765c4.jpg.296x216.jpg
20200208,闵行,金虹桥,近地铁龙溪路，复式+露台，日本学府。老外街，万象城房主自荐,730万,4室2厅 | 160平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-322d785b-59f5-4093-9d8e-9a478ec3bcfa.jpg.296x216.jpg
20200208,闵行,金虹桥,小区中间位置 正对花园 中高楼层 正气四房 精装大平层,1750万,4室2厅 | 228.45平米 | 南 | 精装 | 高楼层(共20层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/0d41e90f-8959-4079-bcb7-cb592b7a42fc_1000.jpg.296x216.jpg
20200208,闵行,金虹桥,满五唯一，税费少！南北通！自住精装保养好，拎包住,585万,2室2厅 | 94.58平米 | 南 北 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-c898c6c8-bb14-405d-b722-d1eabaa89fc6.png.296x216.jpg
20200208,闵行,金虹桥,68平大两房！满五唯一！三楼！租赁车位！虹鹿幼儿园！房主自荐,350万,2室1厅 | 67.54平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3b113c51-7ada-4162-b8ba-94b5919451be.jpg.296x216.jpg
20200208,闵行,金虹桥,精装电梯两房，满五唯一，税少，专属委托房源,410万,2室1厅 | 75.13平米 | 东北 | 精装 | 中楼层(共13层) | 2002年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_5vQ3o7SuN_1.jpg.296x216.jpg
20200208,闵行,金虹桥,飞机户型，厅南两房南，三楼，2/3唯一，接受置换客,510万,2室2厅 | 75.99平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-39ec5a04-60c2-4c82-8acb-fa641bf151a4.jpg.296x216.jpg
20200208,闵行,金虹桥,业主降价100万 万科物业 16年次新房高区精装修有车位,1538万,3室2厅 | 162.17平米 | 南 | 精装 | 高楼层(共16层) | 2016年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4422b2fd-928e-4d19-a095-9fa381c7e858.jpg.296x216.jpg
20200208,闵行,金虹桥,境外业主诚售，三期复式带露台，近老外街及古北,1175万,4室3厅 | 244.73平米 | 南 | 精装 | 高楼层(共13层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_OGK15Se17_1.jpg.296x216.jpg
20200208,闵行,金虹桥,低总价3房 业主诚意出售 价格有空间 看房方便 采光好,493万,3室1厅 | 88.93平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_h7D8unxbJ_1.jpg.296x216.jpg
20200208,闵行,金虹桥,海联花苑，精装三房，可拎包入住，采光好 ，看房随时,510万,3室1厅 | 99.01平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_y1YjYfa6f_1.jpg.296x216.jpg
