district,town_name,description,listed_price,layout,total_area,direction,decoration_rate,stairs,built_year,building_type,rooms,living_rooms,floor_height,total_floors,m5w1,near_facilities,historical,log_price,binned_total_floors,living_room_ratio
baoshan,dahua,满五年唯一  买进价高 税费少 有地下产权车位,650.0,2室2厅 ,93.34, 南 , 精装 ,低楼层(共14层),2009-01-01, 板楼,2,2,低,14,满五不唯一,False,False,6.476972362889683,low,1.0
pudong,yangjing,好房，小区花园位置，安静宜居，户型布局合理,805.0,2室2厅 ,100.81, 南 , 简装 ,高楼层(共6层),2002-01-01, 板楼,2,2,高,6,不满五,False,False,6.690842277418564,low,1.0
minhang,jinhongqiao,看房方便，景观层，大客厅，前面一百米无遮挡,760.0,3室2厅 ,136.66, 南 , 精装 ,中楼层(共9层),1996-01-01, 板楼,3,2,中,9,不满五,False,False,6.633318433280377,low,0.6666666666666666
pudong,jinyang,此房满五唯一税费少，健身楼层，诚意出售，方便看房,598.0,4室2厅 ,103.38, 南 , 简装 ,高楼层(共6层),1996-01-01, 板楼,4,2,高,6,满五唯一,False,False,6.393590753950631,low,0.5
pudong,shibo,6/13号双轨地铁 一梯两户全明户型双阳台有钥匙随时看,358.0,2室1厅 ,65.45, 南 , 毛坯 ,低楼层(共6层),1996-01-01, 板楼,2,1,低,6,不满五,True,False,5.8805329864007,low,0.5
pudong,zhangjiang,二号线广兰路站旁城市经典临河大四房满五年看房随时,1200.0,4室2厅 ,209.83, 南 北 , 简装 ,低楼层(共10层),2005-01-01, 板楼,4,2,低,10,满五不唯一,False,False,7.090076835776092,low,0.5
minhang,meilong,紫藤一村，双南两房，一梯两户，近地铁房主自荐,335.0,2室1厅 ,72.2, 南 , 简装 ,中楼层(共6层),1993-01-01, 板楼,2,1,中,6,不满五,True,False,5.814130531825066,low,0.5
baoshan,luodian,欧式风格的上叠别墅 品质享受 上下三层 私家车位房主自荐,608.0,3室2厅 ,151.0, 西南 , 精装 ,下叠(共4层),2012-01-01, 板楼 | 叠拼别墅,3,2,高,4,不满五,False,False,6.410174881966167,low,0.6666666666666666
pudong,chuansha,09年品质小区 刚需一房 满五唯一税费少 诚售价格可谈,255.0,1室1厅 ,65.42, 南 , 简装 ,中楼层(共11层),2009-01-01, 板楼,1,1,中,11,满五唯一,False,False,5.541263545158426,low,1.0
pudong,caolu,万科高私密性别墅 中间套 南进门 采光佳,1320.0,4室2厅 ,257.61, 南 , 毛坯 ,3层,2011-01-01, 板楼 | 联排别墅,4,2,高,3,不满五,False,False,7.1853870155804165,very low,0.5
pudong,weifang,小区花园位置，朝南边套全明一房，房东诚意出售,400.0,1室1厅 ,40.37, 南 , 简装 ,高楼层(共6层),1987-01-01, 板楼,1,1,高,6,不满五,False,False,5.991464547107982,low,1.0
pudong,yangdong,世纪公园旁挑空大厅，单价低税费低，业主诚意,1630.0,5室2厅 ,257.12, 南 北 , 精装 ,高楼层(共21层),2006-01-01, 板楼,5,2,高,21,不满五,True,False,7.396335293800808,high,0.4
pudong,yuqiao1,三房朝南，双花园， 得房率高 实用三房 诚意出售,358.0,3室1厅 ,85.25, 南 , 毛坯 ,低楼层(共6层),1996-01-01, 板楼,3,1,低,6,不满五,False,False,5.8805329864007,low,0.3333333333333333
pudong,xuanqiao,精装修 拎包入住 使用面积大 6楼有阁楼，满五税费少,232.0,3室2厅 ,116.9, 南 , 精装 ,高楼层(共6层),2007-01-01, 板楼,3,2,高,6,满五不唯一,False,False,5.44673737166631,low,0.6666666666666666
pudong,tangqiao,价格便宜+视野采光好+诚意出售+没有出租过,250.0,1室1厅 ,42.71, 南 , 精装 ,高楼层(共6层),1994-01-01, 板楼,1,1,高,6,不满五,False,False,5.521460917862246,low,1.0
xuhui,wantiguan,稀有三房 单价总价低 两南一北 西边套 地铁11、3、12,450.0,3室1厅 ,65.57, 南 西 北 , 精装 ,高楼层(共6层),1986-01-01, 板楼,3,1,高,6,不满五,True,False,6.1092475827643655,low,0.3333333333333333
pudong,zhoupu,业主二手买进，税费少，多层三楼，楼层位置好,435.0,4室2厅 ,129.74, 南 北 , 精装 ,中楼层(共5层),1998-01-01, 板楼,4,2,中,5,不满五,False,False,6.075346031088684,low,0.5
pudong,yangsiqiantan,杨思前滩+高品质小区+带产权车位+次顶楼,1090.0,3室2厅 ,132.67, 南 北 , 精装 ,高楼层(共8层),2007-01-01, 板楼,3,2,高,8,不满五,False,False,6.993932975223189,low,0.6666666666666666
pudong,lujiazui,东南朝向+看小区绿化+大露台+随时看房,2200.0,4室2厅 ,315.74, 西南 , 精装 ,低楼层(共45层),1994-01-01, 板楼,4,2,低,45,不满五,False,False,7.696212639346407,very high,0.5
pudong,lianyang,17年二次装修 有地暖3+1户型 一梯一户 三卧室都朝南,1550.0,4室1厅 ,162.88, 南 北 , 精装 ,高楼层(共19层),2006-01-01, 板楼,4,1,高,19,不满五,False,False,7.346010209913293,low,0.25
baoshan,songbao,业主急售 已定待售 双南户型 学而有成 价格便宜,250.0,2室1厅 ,66.42, 南 , 简装 ,高楼层(共6层),1994-01-01, 板楼,2,1,高,6,不满五,False,False,5.521460917862246,low,0.5
xuhui,zhiwuyuan,动迁房 税费少 小区环境改良 景观房,680.0,3室2厅 ,119.15, 南 西 , 毛坯 ,高楼层(共17层),2012-01-01, 板楼,3,2,高,17,不满五,False,False,6.522092798170152,low,0.6666666666666666
xuhui,hengshanlu,延庆路华亭路 售后公房 顶楼有阁楼,1280.0,3室1厅 ,101.82, 南 , 简装 ,低楼层(共3层),1936-01-01, 暂无数据,3,1,低,3,不满五,False,True,7.154615356913663,very low,0.3333333333333333
pudong,huamu,小区央位，世纪公园 地铁2号线 采光不受影响！诚意,630.0,3室2厅 ,95.31, 南 , 简装 ,高楼层(共6层),2000-01-01, 板楼,3,2,高,6,不满五,True,False,6.4457198193855785,low,0.6666666666666666
baoshan,gongkang,满五唯一+近共康路地铁站+婚房精装+户型整气房主自荐,195.0,1室1厅 ,46.85, 南 , 精装 ,高楼层(共6层),1993-01-01, 板楼,1,1,高,6,满五唯一,True,False,5.272999558563747,low,1.0
pudong,lianyang,景观房原始复式丨满五唯一、带车位丨看中价格可以沟通,2400.0,5室2厅 ,259.02, 南 , 精装 ,高楼层(共9层),2003-01-01, 板楼,5,2,高,9,满五唯一,False,False,7.783224016336037,low,0.4
pudong,shibo,一手动迁满五唯一距离地铁6/13号线260米户型南北通必看好房,365.0,2室1厅 ,62.59, 南 北 , 精装 ,中楼层(共6层),1994-01-01, 板楼,2,1,中,6,满五唯一,True,False,5.8998973535824915,low,0.5
minhang,hanghua,出门71路电车直达外滩，出行便利 近外环电梯房沪青平,300.0,2室1厅 ,92.92, 西南 , 精装 ,低楼层(共14层),1996-01-01, 塔楼,2,1,低,14,不满五,False,False,5.703782474656201,low,0.5
baoshan,luodian,拥有下叠别墅房型的精装修地铁花园洋房,415.0,4室3厅 ,102.0, 南 , 精装 ,低楼层(共11层),2012-01-01, 板楼,4,3,低,11,不满五,True,False,6.028278520230698,low,0.75
pudong,chuansha,满五唯一，电梯景观房，精装修，南北通，通风好,395.0,3室2厅 ,108.53, 南 , 精装 ,低楼层(共11层),2002-01-01, 板楼,3,2,低,11,满五唯一,False,False,5.978885764901122,low,0.6666666666666666
pudong,tangzhen,楼层位置都好，户型好，前后无遮挡，采光好,320.0,2室2厅 ,78.13, 南 , 毛坯 ,中楼层(共6层),2008-01-01, 板楼,2,2,中,6,不满五,False,False,5.768320995793772,low,1.0
minhang,wujing,景观楼层采光好，户型双南，楼下公园，天然氧吧房主自荐,199.0,2室1厅 ,67.0, 南 , 简装 ,高楼层(共6层),1995-01-01, 板楼,2,1,高,6,不满五,True,False,5.293304824724492,low,0.5
baoshan,gongfu,2006年次新大平层三房  精装 全明户型 前面是花园,499.0,3室1厅 ,140.05, 南 , 精装 ,低楼层(共6层),2006-01-01, 板楼,3,1,低,6,不满五,False,False,6.212606095751519,low,0.3333333333333333
minhang,xinzhuang5,地铁口两房两厅两卫，电梯高楼层，视野采光好,593.0,2室2厅 ,114.02, 南 , 精装 ,高楼层(共15层),1999-01-01, 板楼,2,2,高,15,不满五,True,False,6.385194398997726,low,1.0
xuhui,kangjian,有地下产权车位 近地铁采光好居住舒适性高 产权清晰房主自荐,615.0,2室2厅 ,120.9, 西南 , 简装 ,低楼层(共24层),1996-01-01, 塔楼,2,2,低,24,不满五,True,False,6.421622267806518,high,1.0
minhang,xinzhuang5,南北通风，非错层，位于小区中间，楼层位置好,530.0,3室2厅 ,104.11, 南 , 简装 ,低楼层(共6层),2003-01-01, 板楼,3,2,低,6,不满五,False,False,6.272877006546167,low,0.6666666666666666
